Brewery,Address,Contact_Info
Alameda Island Brewing Company Address,"1716 Park Street
Alameda, California, United States",http://alamedaislandbrewingcompany.com/
Faction Brewing Address,"2501 Monarch Street
Alameda, California, United States",http://factionbrewing.com/
Ocean View Brew Works Address,"627 San Pablo Avenue
Albany, California, United States",https://www.oceanviewbrews.com/
,,
Alpine Beer Company Address,"2363 Alpine Blvd
Alpine, California, United States",http://alpinebeerco.com/home/
Bottle Logic Brewing Address,"1072 N. Armando St.
Anaheim, California, United States",http://bottlelogic.com
Bruery Terreux Address,"737 Dunn Way
Anaheim, California, United States",http://www.brueryterreux.com
Hoparazzi Brewing Co. Address,"D
2910 E La Palma Avenue
Anaheim, California, United States",+1 (714) 204-0655
Noble Ale Works Address,"1621 S Sinclair St
Anaheim, California, United States",http://www.noblealeworks.com
Redwood Curtain Brewing Company Address,"550 S G Street
Arcata, California, United States",https://www.redwoodcurtainbrewing.com
Auburn Alehouse Address,"289 Washington Street
Auburn, California, United States",http://auburnalehouse.com
Crooked Lane Brewing Company Address,"536 Grass Valley Highway
Auburn, California, United States",http://www.crookedlanebrewing.com
Knee Deep Brewing Company Address,"13395 New Airport Rd.
Auburn, California, United States",http://kneedeepbrewing.com
Moonraker Brewing Co. Address,"100
12970 Earhart Avenue
Auburn, California, United States",https://www.moonrakerbrewing.com
Lengthwise Brewing Company Address,"7700 District Boulevard
Bakersfield, California, United States",http://lengthwise.com/
Temblor Brewing Company Address,"Suite 200
3200 Buck Owens Boulevard
Bakersfield, California, United States",https://temblorbrewing.com/
Bison Brewing Company Address,"930 Dwight Way #10a
Berkeley, California, United States",http://bisonbrew.com/
Fieldwork Brewing Company Address,"1160 Sixth Street
Berkeley, California, United States",https://fieldworkbrewing.com/
Gilman Brewing Company Address,"912 Gilman St, Berkeley, CA 94710, USA
Berkeley, California, United States",http://www.gilmanbrew.com
Jupiter Address,"2181 Shattuck Avenue
Berkeley, California, United States",http://www.jupiterbeer.com
The Rare Barrel Address,"940 Parker Street
Berkeley, California, United States",https://www.therarebarrel.com
Triple Rock Brewing Address,"1920 Shattuck Avenue
Berkeley, California, United States",http://triplerock.com/
The Brewing Lair Address,"67007 CA Highway 70
Blairsden, California, United States",http://www.thebrewinglair.com/
Mad River Brewing Address,"195 Taylor Way
Blue Lake, California, United States",https://www.madriverbrewing.com
Anderson Valley Brewing Company Address,"17700 Highway 253
Boonville, California, United States",http://avbc.com
TAPS Fish House & Brewery Address,"101 E Imperial Hwy
Brentwood, California, United States",http://www.tapsfishhouse.com
Figueroa Mountain Brewing Address,"45 Industrial Way
Buellton, California, United States",http://www.figmtnbrew.com
Lincoln Beer Company Address,"3083 N Lima Street
Burbank, California, United States",https://www.lincolnbeercompany.com/
